region,year,age_group,gender,ethnic_group,population,literacy_rate,employed,employment_rate
South,2018,45-64,Female,Group D,36592,60.63,28875,78.91
South,2013,25-44,Male,Group A,29576,60.89,1862,6.3
South,2015,25-44,Female,Group C,5087,88.23,14934,293.57
East,2013,45-64,Male,Group A,33624,91.8,7789,23.17
North,2020,0-14,Male,Group D,16287,88.74,4855,29.81
West,2010,45-64,Female,Group D,20948,90.89,8949,42.72
South,2016,0-14,Female,Group D,5999,66.89,10997,183.31
Central,2023,15-24,Male,Group B,4341,75.04,32130,740.15
South,2019,25-44,Female,Group C,45390,74.75,6845,15.08
Central,2020,0-14,Male,Group D,25902,97.8,12095,46.7
East,2021,65+,Female,Group A,46677,95.81,34962,74.9
Central,2015,65+,Female,Group B,23555,80.73,21632,91.84
West,2018,25-44,Male,Group B,40327,60.93,17058,42.3
North,2016,45-64,Male,Group C,1165,66.12,8433,723.86
Central,2022,45-64,Female,Group C,32771,70.64,32204,98.27
Central,2016,0-14,Female,Group C,23737,92.55,26871,113.2
North,2011,45-64,Female,Group B,43488,62.34,36960,84.99
West,2021,25-44,Male,Group D,28767,64.45,28641,99.56
South,2020,0-14,Female,Group A,11274,70.02,28433,252.2
Central,2024,15-24,Female,Group D,1053,94.86,37791,3588.89
North,2018,45-64,Female,Group A,14360,76.66,36485,254.07
East,2019,45-64,Female,Group D,25403,82.81,2468,9.72
North,2018,0-14,Male,Group C,7545,71.65,26420,350.17
East,2015,65+,Male,Group A,9880,63.11,4638,46.94
West,2022,45-64,Male,Group B,33417,64.58,39266,117.5
South,2012,25-44,Female,Group A,32761,89.51,19569,59.73
North,2010,45-64,Female,Group B,49641,93.42,26803,53.99
Central,2013,15-24,Female,Group D,13843,76.2,11519,83.21
West,2023,45-64,Male,Group C,3353,70.35,14922,445.03
North,2023,65+,Male,Group A,10628,89.74,37957,357.14
Central,2012,45-64,Male,Group B,45848,83.94,6228,13.58
North,2023,0-14,Male,Group D,48522,56.76,26140,53.87
East,2021,45-64,Female,Group C,3236,70.08,31648,978.0
North,2010,65+,Male,Group C,34224,84.33,8622,25.19
North,2012,0-14,Male,Group C,11940,79.67,20888,174.94
North,2023,25-44,Female,Group D,5680,97.06,14672,258.31
West,2023,0-14,Male,Group D,30784,92.24,15100,49.05
North,2013,15-24,Female,Group D,41875,57.57,35871,85.66
Central,2022,0-14,Female,Group C,12146,86.21,7963,65.56
East,2022,25-44,Female,Group A,19529,69.46,11160,57.15
East,2024,45-64,Female,Group B,20658,84.33,11284,54.62
North,2023,0-14,Female,Group D,14842,81.54,2274,15.32
West,2017,0-14,Male,Group A,38281,76.63,8025,20.96
West,2018,0-14,Male,Group B,584,91.68,35033,5998.8
Central,2012,0-14,Female,Group C,2435,85.47,25405,1043.33
North,2015,25-44,Male,Group A,30966,93.25,36176,116.82
East,2019,65+,Female,Group C,42876,67.11,4874,11.37
West,2020,65+,Male,Group B,9762,69.97,322,3.3
North,2024,0-14,Male,Group D,12104,81.74,21680,179.11
West,2014,25-44,Male,Group C,42981,96.56,9643,22.44
West,2015,25-44,Male,Group A,23633,70.98,4633,19.6
East,2013,0-14,Male,Group D,29167,56.39,1190,4.08
South,2019,15-24,Male,Group A,35741,74.17,5756,16.1
Central,2015,0-14,Male,Group B,34003,78.39,26862,79.0
Central,2016,15-24,Female,Group B,3338,89.44,29297,877.68
East,2018,0-14,Female,Group D,35830,86.33,4909,13.7
West,2019,15-24,Female,Group A,13940,96.48,24557,176.16
North,2016,15-24,Male,Group A,37174,88.66,36548,98.32
West,2015,0-14,Male,Group A,34540,67.84,19386,56.13
East,2010,15-24,Female,Group A,38104,82.58,33839,88.81
Central,2011,45-64,Female,Group B,35130,83.91,19408,55.25
West,2010,65+,Male,Group A,37494,97.91,22679,60.49
Central,2018,25-44,Female,Group B,26839,60.97,27678,103.13
North,2019,15-24,Female,Group A,30884,63.23,13122,42.49
Central,2019,15-24,Female,Group A,45878,61.69,27279,59.46
Central,2018,25-44,Female,Group C,42282,80.33,30966,73.24
South,2016,15-24,Male,Group C,33143,60.82,19987,60.31
South,2022,25-44,Female,Group A,17426,83.21,22737,130.48
South,2011,0-14,Female,Group B,39477,89.56,10583,26.81
Central,2015,45-64,Female,Group A,24152,73.61,38518,159.48
East,2020,45-64,Female,Group C,10770,79.11,32095,298.0
Central,2013,65+,Male,Group A,17768,94.25,3407,19.17
East,2010,15-24,Female,Group C,36917,79.49,28434,77.02
East,2010,65+,Female,Group A,47394,63.97,30768,64.92
South,2021,0-14,Female,Group D,49341,69.76,3297,6.68
West,2014,45-64,Female,Group A,20817,77.78,19222,92.34
North,2021,0-14,Female,Group B,36934,61.66,34592,93.66
South,2011,0-14,Male,Group C,46625,81.34,16168,34.68
South,2013,15-24,Female,Group D,15948,97.97,11349,71.16
West,2010,0-14,Female,Group C,10413,83.06,9917,95.24
North,2013,45-64,Male,Group C,9066,71.01,16842,185.77
Central,2020,65+,Female,Group B,32944,69.27,13840,42.01
Central,2015,45-64,Male,Group A,16105,95.06,17037,105.79
South,2019,15-24,Female,Group B,1057,92.48,9190,869.44
North,2013,45-64,Male,Group A,42740,75.31,4370,10.22
South,2010,25-44,Male,Group D,44883,70.2,25017,55.74
East,2016,65+,Female,Group B,6540,85.55,5336,81.59
South,2023,25-44,Male,Group B,47152,68.52,1912,4.05
South,2011,25-44,Female,Group C,34396,60.13,28994,84.29
Central,2018,15-24,Male,Group B,22304,68.34,34970,156.79
Central,2022,0-14,Male,Group A,9792,73.67,8351,85.28
Central,2012,25-44,Female,Group B,26610,65.98,39222,147.4
East,2017,45-64,Male,Group B,5849,64.32,10673,182.48
Central,2022,0-14,Female,Group D,30874,55.26,15503,50.21
North,2017,45-64,Male,Group A,19509,82.13,19695,100.95
West,2012,45-64,Male,Group C,45587,81.42,21825,47.88
North,2013,0-14,Female,Group A,43091,63.09,13961,32.4
North,2011,0-14,Female,Group D,557,95.58,9118,1636.98
Central,2013,45-64,Male,Group A,9003,72.61,34799,386.53
West,2020,15-24,Female,Group A,28793,56.1,2021,7.02
West,2020,65+,Female,Group B,43461,64.45,34784,80.03
West,2020,65+,Male,Group B,19621,84.76,36400,185.52
East,2023,15-24,Male,Group A,5993,63.67,18553,309.58
Central,2018,0-14,Female,Group A,37145,57.32,18968,51.06
West,2011,45-64,Male,Group C,2782,81.56,36647,1317.29
East,2021,65+,Female,Group D,23670,77.29,29384,124.14
South,2021,45-64,Female,Group B,44643,87.73,17011,38.1
South,2022,15-24,Female,Group B,1931,88.22,26795,1387.62
East,2012,45-64,Female,Group B,45794,96.28,26232,57.28
East,2024,15-24,Female,Group B,35043,57.45,39231,111.95
Central,2020,0-14,Female,Group A,21091,56.68,17957,85.14
Central,2020,15-24,Male,Group A,11851,97.45,12154,102.56
South,2024,15-24,Female,Group C,32983,82.73,29993,90.93
West,2013,65+,Male,Group B,31695,85.76,38130,120.3
South,2014,45-64,Female,Group B,47907,59.15,27006,56.37
West,2010,65+,Male,Group A,37653,58.0,23424,62.21
West,2016,25-44,Male,Group C,23235,61.89,29436,126.69
Central,2023,15-24,Male,Group A,15703,73.37,4011,25.54
North,2019,25-44,Female,Group B,4474,59.74,30568,683.24
North,2016,65+,Male,Group B,39173,74.19,36274,92.6
East,2018,45-64,Male,Group D,37733,79.15,32919,87.24
Central,2013,65+,Female,Group D,20186,55.01,8837,43.78
West,2023,45-64,Male,Group D,40213,59.91,12333,30.67
North,2023,45-64,Male,Group C,44326,71.13,29071,65.58
West,2015,0-14,Female,Group A,13136,57.29,27771,211.41
North,2020,15-24,Male,Group B,35570,60.74,1601,4.5
North,2011,65+,Male,Group B,29623,64.97,10204,34.45
North,2021,45-64,Female,Group C,32312,73.47,33513,103.72
Central,2021,65+,Male,Group B,29260,85.74,35501,121.33
South,2023,65+,Male,Group B,5466,60.71,34977,639.9
West,2013,45-64,Male,Group A,46715,86.73,28208,60.38
Central,2011,25-44,Male,Group D,18926,91.77,6101,32.24
Central,2019,15-24,Female,Group D,14662,83.01,4285,29.23
Central,2014,15-24,Female,Group C,16558,56.88,2415,14.59
Central,2024,0-14,Female,Group D,41982,73.95,15963,38.02
Central,2016,0-14,Female,Group D,44167,83.38,2384,5.4
East,2022,0-14,Male,Group C,3498,97.08,10554,301.72
West,2010,15-24,Female,Group C,1409,95.93,34243,2430.31
Central,2024,25-44,Female,Group D,45997,72.02,9704,21.1
West,2019,15-24,Male,Group A,35148,81.49,3723,10.59
East,2019,15-24,Male,Group C,12997,93.31,8907,68.53
East,2016,15-24,Male,Group B,19444,90.73,21367,109.89
West,2019,15-24,Female,Group C,8027,75.62,33987,423.41
North,2022,25-44,Male,Group B,38964,66.23,26071,66.91
South,2015,0-14,Male,Group C,3572,60.9,24182,676.99
North,2015,65+,Male,Group C,12518,75.98,1249,9.98
North,2021,0-14,Female,Group D,30152,86.08,13581,45.04
North,2017,0-14,Female,Group D,4976,96.7,2540,51.05
Central,2017,65+,Female,Group D,44335,92.06,35953,81.09
East,2015,15-24,Female,Group A,30732,63.78,12261,39.9
North,2012,25-44,Female,Group D,27982,85.95,5905,21.1
East,2014,25-44,Female,Group D,37757,67.43,24214,64.13
West,2011,0-14,Female,Group C,21375,84.39,33673,157.53
South,2024,65+,Male,Group C,16719,83.63,28347,169.55
West,2023,45-64,Male,Group A,30948,66.71,2684,8.67
West,2014,15-24,Male,Group B,14867,65.08,1945,13.08
Central,2023,0-14,Female,Group C,25620,59.47,22348,87.23
South,2018,25-44,Female,Group C,7355,57.17,16416,223.2
West,2019,65+,Male,Group B,3597,91.91,32747,910.4
West,2010,65+,Male,Group A,45085,57.14,22212,49.27
South,2019,0-14,Female,Group C,20389,58.82,977,4.79
South,2014,45-64,Female,Group D,1584,65.27,9725,613.95
West,2021,25-44,Female,Group A,33820,93.17,3314,9.8
South,2015,0-14,Female,Group B,22444,69.32,35904,159.97
West,2023,45-64,Female,Group B,34421,63.25,20694,60.12
West,2020,65+,Female,Group D,22357,85.77,1545,6.91
Central,2016,15-24,Female,Group D,18570,68.72,2241,12.07
North,2018,25-44,Female,Group D,24975,69.33,14530,58.18
West,2015,25-44,Male,Group A,22719,86.78,13398,58.97
East,2014,45-64,Female,Group B,41957,65.82,9947,23.71
North,2021,0-14,Female,Group D,31989,93.56,17273,54.0
North,2016,65+,Female,Group D,23678,79.14,30486,128.75
North,2022,45-64,Male,Group B,13983,78.13,28228,201.87
Central,2010,15-24,Male,Group C,48302,66.38,26310,54.47
West,2020,15-24,Female,Group A,45427,90.91,23640,52.04
Central,2023,15-24,Male,Group C,34073,79.63,33087,97.11
West,2014,45-64,Male,Group D,34188,61.69,39137,114.48
Central,2024,65+,Male,Group A,46430,63.87,38800,83.57
Central,2011,25-44,Female,Group C,32029,75.14,12446,38.86
East,2013,0-14,Female,Group B,34711,88.52,27628,79.59
Central,2016,25-44,Female,Group D,40316,95.39,1813,4.5
South,2014,65+,Female,Group A,46975,83.53,7823,16.65
East,2021,25-44,Female,Group A,34478,76.76,36001,104.42
Central,2015,45-64,Female,Group A,30177,65.78,5859,19.42
North,2011,15-24,Female,Group A,16504,83.93,29853,180.88
South,2012,65+,Male,Group D,10772,97.24,12280,114.0
South,2016,65+,Female,Group D,6712,75.48,12176,181.41
South,2020,25-44,Female,Group B,21571,61.97,15918,73.79
East,2011,45-64,Female,Group B,43608,59.44,9541,21.88
Central,2021,25-44,Female,Group B,10200,66.58,16496,161.73
Central,2015,25-44,Female,Group C,30480,79.49,26485,86.89
North,2014,65+,Female,Group B,17797,95.71,14334,80.54
North,2019,25-44,Female,Group D,41849,67.86,29537,70.58
South,2010,15-24,Female,Group C,29125,68.13,655,2.25
North,2021,25-44,Male,Group D,29331,75.69,7843,26.74
East,2020,15-24,Male,Group C,29867,94.5,4820,16.14
Central,2024,65+,Female,Group B,46313,73.02,9067,19.58
South,2019,45-64,Female,Group B,35838,64.6,25777,71.93
North,2020,15-24,Male,Group B,20621,62.01,28847,139.89
East,2013,45-64,Female,Group C,36047,74.65,25671,71.22
East,2020,45-64,Female,Group D,25414,89.43,5299,20.85
North,2011,15-24,Male,Group A,44896,67.53,14087,31.38
Central,2013,65+,Female,Group D,17678,77.04,27869,157.65
North,2010,0-14,Female,Group B,2222,80.93,259,11.66
South,2011,45-64,Female,Group C,14385,74.37,12873,89.49
North,2022,45-64,Male,Group C,602,63.24,22895,3803.16
East,2017,65+,Male,Group B,27935,94.64,5731,20.52
North,2015,65+,Female,Group C,13762,79.31,2964,21.54
Central,2011,25-44,Male,Group B,7953,86.35,1994,25.07
West,2021,65+,Male,Group D,42907,82.35,10921,25.45
North,2024,45-64,Male,Group C,45674,97.92,5886,12.89
Central,2015,15-24,Female,Group A,12724,74.62,29667,233.16
Central,2019,0-14,Male,Group C,6672,73.27,37955,568.87
East,2018,25-44,Male,Group B,11752,70.49,13088,111.37
Central,2016,15-24,Male,Group A,18418,70.55,39548,214.72
Central,2018,0-14,Female,Group B,7697,66.86,13733,178.42
Central,2014,0-14,Male,Group C,32091,97.17,22116,68.92
Central,2016,0-14,Male,Group A,14177,92.44,3753,26.47
South,2020,15-24,Female,Group A,11539,68.62,8344,72.31
South,2024,25-44,Male,Group C,28285,68.12,25709,90.89
East,2023,25-44,Male,Group A,5070,59.45,5637,111.18
North,2016,0-14,Male,Group D,7206,92.71,24747,343.42
Central,2021,15-24,Female,Group A,12155,70.99,32718,269.17
North,2021,0-14,Female,Group A,33702,79.62,24030,71.3
North,2012,65+,Male,Group D,48407,93.72,8949,18.49
East,2016,25-44,Male,Group B,9949,72.55,22549,226.65
Central,2010,45-64,Male,Group B,25130,89.7,29489,117.35
Central,2018,0-14,Male,Group D,9622,73.5,6115,63.55
West,2019,65+,Male,Group A,46871,85.14,28895,61.65
North,2022,25-44,Male,Group C,11491,73.54,9934,86.45
North,2015,15-24,Female,Group D,25387,71.89,14903,58.7
South,2014,25-44,Male,Group C,14359,97.6,22699,158.08
West,2016,15-24,Male,Group B,24140,81.33,21678,89.8
South,2014,15-24,Male,Group D,48839,70.8,2582,5.29
South,2019,0-14,Female,Group C,26032,66.09,30328,116.5
South,2014,0-14,Male,Group A,39729,56.71,25783,64.9
East,2020,25-44,Female,Group D,39264,85.38,37326,95.06
East,2019,65+,Male,Group C,38120,71.0,28892,75.79
South,2020,25-44,Male,Group D,3012,90.31,33107,1099.17
West,2016,45-64,Male,Group D,15946,70.65,7844,49.19
North,2019,15-24,Male,Group B,22412,71.05,34783,155.2
West,2024,15-24,Male,Group B,34531,88.5,37269,107.93
Central,2016,0-14,Male,Group A,36015,76.05,15385,42.72
East,2022,65+,Female,Group B,15916,93.05,10646,66.89
North,2020,0-14,Male,Group B,7780,80.38,23362,300.28
North,2024,45-64,Male,Group B,11474,65.35,14350,125.07
Central,2012,25-44,Male,Group C,44246,79.44,30037,67.89
Central,2012,25-44,Female,Group D,44275,55.17,36203,81.77
South,2019,65+,Male,Group B,37031,68.43,1587,4.29
East,2021,0-14,Female,Group C,12727,63.94,12409,97.5
East,2022,0-14,Male,Group D,13531,83.13,1183,8.74
West,2024,45-64,Male,Group B,43783,60.85,32351,73.89
South,2012,25-44,Female,Group B,33500,67.47,22003,65.68
South,2015,0-14,Female,Group D,45812,69.25,19578,42.74
South,2021,65+,Male,Group C,2528,55.14,7748,306.49
South,2024,25-44,Female,Group C,30933,57.01,39821,128.73
East,2015,45-64,Female,Group A,18813,68.38,975,5.18
East,2022,65+,Male,Group D,49290,64.56,21565,43.75
South,2022,15-24,Male,Group A,10150,60.03,30907,304.5
West,2012,45-64,Male,Group C,26724,61.63,24337,91.07
North,2012,65+,Female,Group B,30864,90.93,21731,70.41
North,2017,0-14,Male,Group A,18861,84.38,18070,95.81
West,2017,15-24,Male,Group C,2913,75.82,2201,75.56
South,2016,45-64,Female,Group C,41294,94.08,14956,36.22
East,2019,0-14,Female,Group B,31570,56.27,28063,88.89
North,2013,15-24,Male,Group D,38686,69.83,10246,26.49
Central,2024,25-44,Female,Group C,22909,90.41,23852,104.12
Central,2013,0-14,Female,Group A,30354,82.02,37156,122.41
West,2012,65+,Female,Group B,31706,97.21,14086,44.43
South,2014,45-64,Male,Group D,30155,95.61,20945,69.46
North,2012,15-24,Male,Group D,10452,62.31,39317,376.17
South,2022,0-14,Male,Group D,36865,96.8,32023,86.87
North,2017,25-44,Female,Group C,18262,95.66,39148,214.37
West,2016,45-64,Male,Group D,1120,71.07,13522,1207.32
West,2022,45-64,Male,Group C,34197,97.26,7994,23.38
Central,2012,0-14,Female,Group B,15955,56.54,6362,39.87
South,2018,25-44,Female,Group B,22710,83.41,16957,74.67
Central,2021,15-24,Male,Group D,48173,66.44,6105,12.67
South,2023,0-14,Female,Group B,1474,60.57,28965,1965.06
Central,2022,15-24,Male,Group A,13179,79.83,38657,293.32
East,2014,45-64,Male,Group A,27929,68.17,19604,70.19
East,2018,15-24,Male,Group C,18573,83.67,15580,83.89
East,2016,25-44,Female,Group D,5171,78.22,15708,303.77
East,2024,65+,Female,Group C,30865,71.88,19876,64.4
North,2016,25-44,Male,Group B,46867,62.82,23460,50.06
East,2015,15-24,Male,Group D,46078,80.85,7097,15.4
West,2011,0-14,Male,Group C,9417,90.66,1764,18.73
West,2018,45-64,Male,Group D,41621,80.8,14070,33.81
North,2015,65+,Female,Group D,8284,81.25,14419,174.06
East,2017,0-14,Male,Group C,47493,77.01,16641,35.04
East,2010,0-14,Male,Group D,33926,71.69,20080,59.19
East,2014,25-44,Female,Group B,36165,74.67,10579,29.25
Central,2021,15-24,Male,Group A,12791,97.55,3148,24.61
South,2010,25-44,Male,Group A,19426,87.24,29793,153.37
Central,2019,15-24,Male,Group D,26654,73.51,36102,135.45
South,2020,25-44,Male,Group A,26150,74.66,18171,69.49
East,2023,0-14,Male,Group D,46840,76.48,9169,19.58
East,2017,45-64,Female,Group C,3705,83.35,20846,562.65
Central,2017,15-24,Female,Group B,37312,75.04,3878,10.39
Central,2010,65+,Female,Group A,30794,84.51,27719,90.01
South,2018,65+,Female,Group C,36701,69.16,3543,9.65
West,2011,0-14,Male,Group B,39979,72.66,4214,10.54
South,2021,25-44,Female,Group A,7884,92.15,5307,67.31
Central,2018,25-44,Female,Group A,17761,69.14,37296,209.99
Central,2010,0-14,Female,Group B,3559,96.47,37623,1057.12
North,2021,65+,Female,Group C,32234,62.42,38826,120.45
Central,2019,65+,Female,Group C,23891,65.39,38588,161.52
North,2023,25-44,Female,Group A,16415,74.94,32532,198.18
West,2023,15-24,Female,Group B,40781,89.29,39972,98.02
South,2018,45-64,Female,Group C,47133,86.46,34210,72.58
South,2013,15-24,Male,Group B,34942,62.5,23599,67.54
North,2018,65+,Female,Group B,43068,65.18,2861,6.64
South,2016,15-24,Male,Group A,26293,79.74,4998,19.01
Central,2020,45-64,Female,Group B,47246,67.69,740,1.57
East,2015,15-24,Female,Group B,32489,73.16,22529,69.34
North,2024,15-24,Female,Group D,49965,75.92,26050,52.14
South,2014,15-24,Male,Group B,25805,80.55,19369,75.06
North,2020,15-24,Male,Group C,17267,65.8,3357,19.44
North,2018,0-14,Female,Group A,39152,62.02,37685,96.25
East,2011,65+,Male,Group A,18696,72.14,5536,29.61
Central,2023,45-64,Female,Group B,19208,58.53,7365,38.34
North,2022,65+,Male,Group B,13883,77.65,27818,200.37
South,2020,0-14,Male,Group C,5748,91.1,13954,242.76
West,2023,0-14,Male,Group D,36697,60.12,5409,14.74
North,2021,0-14,Female,Group A,26940,59.85,14690,54.53
North,2011,0-14,Male,Group D,21730,58.45,27801,127.94
East,2020,15-24,Male,Group C,30154,91.46,7845,26.02
Central,2021,65+,Female,Group A,17111,58.47,38708,226.22
West,2024,25-44,Male,Group C,22957,97.29,37122,161.7
South,2018,45-64,Female,Group B,10756,70.41,35633,331.28
West,2021,0-14,Female,Group C,41471,69.14,6218,14.99
South,2012,65+,Male,Group B,41033,58.94,26574,64.76
Central,2017,0-14,Female,Group D,34790,80.18,5913,17.0
South,2020,0-14,Male,Group A,33959,80.19,30272,89.14
East,2024,0-14,Male,Group A,28781,76.23,21735,75.52
East,2018,0-14,Female,Group D,2239,68.37,31520,1407.77
East,2017,0-14,Male,Group B,2025,70.85,27763,1371.01
East,2013,45-64,Male,Group A,16953,68.78,19162,113.03
West,2021,65+,Female,Group C,6751,73.32,1226,18.16
Central,2010,0-14,Female,Group B,43708,69.7,4673,10.69
South,2013,0-14,Male,Group A,20007,84.05,4867,24.33
South,2023,0-14,Female,Group C,14360,67.72,28089,195.61
East,2018,0-14,Female,Group C,21608,70.09,26340,121.9
East,2011,15-24,Female,Group A,28406,73.72,17170,60.44
North,2012,15-24,Female,Group D,8149,55.17,16141,198.07
Central,2019,25-44,Male,Group D,34555,76.16,29228,84.58
West,2017,0-14,Male,Group A,13693,66.0,33652,245.76
South,2015,25-44,Female,Group C,31522,57.41,22626,71.78
North,2017,45-64,Male,Group D,32156,94.17,3468,10.78
North,2016,25-44,Female,Group D,42035,68.86,15393,36.62
South,2023,65+,Female,Group D,16413,73.32,28266,172.22
West,2022,15-24,Male,Group B,16129,90.58,858,5.32
North,2022,15-24,Male,Group D,31192,62.17,34264,109.85
North,2014,0-14,Male,Group A,5454,91.56,34493,632.43
Central,2018,0-14,Male,Group A,34012,65.39,7992,23.5
West,2013,45-64,Female,Group B,11219,80.33,6804,60.65
North,2015,45-64,Female,Group B,28149,84.48,38757,137.69
West,2011,65+,Male,Group A,12902,93.92,7620,59.06
South,2024,0-14,Female,Group B,37844,81.13,38721,102.32
East,2011,0-14,Male,Group D,9716,74.49,23218,238.97
North,2011,45-64,Male,Group C,49631,79.61,5308,10.69
Central,2019,45-64,Male,Group C,31550,63.69,27350,86.69
South,2016,45-64,Female,Group C,30772,84.63,5447,17.7
West,2022,15-24,Female,Group A,5550,63.04,8601,154.97
South,2011,25-44,Male,Group B,47216,78.96,17207,36.44
North,2024,25-44,Male,Group C,2938,82.85,10197,347.07
West,2024,0-14,Male,Group D,43650,93.64,5461,12.51
